GPflow,1,136.70963215827942
GPflow,2,73.80782628059387
GPflow,3,53.46939039230347
GPflow,4,46.55161190032959
GPflow,5,40.21001219749451
GPflow,6,38.0634343624115
GPflow,1,134.58023595809937
GPflow,2,73.24023985862732
GPflow,3,53.18315005302429
GPflow,4,44.734044313430786
GPflow,5,41.88342833518982
GPflow,6,36.90297603607178
GPflow,1,134.52880787849426
GPflow,2,73.79833388328552
GPflow,3,53.255494594573975
GPflow,4,46.45420169830322
GPflow,5,45.41926050186157
GPflow,6,37.17382097244263
GPflow,1,134.7751190662384
GPflow,2,73.71183633804321
GPflow,3,53.5567421913147
GPflow,4,45.531068086624146
GPflow,5,41.27484655380249
GPflow,6,36.39570999145508
GPflow,1,134.03548979759216
GPflow,2,73.05377101898193
GPflow,3,57.96693992614746
GPflow,4,47.31300067901611
GPflow,5,39.40488076210022
GPflow,6,36.0142605304718
GPy,1,117.067682981
GPy,2,59.7208108902
GPy,3,52.0872149467
GPy,4,41.1295061111
GPy,5,37.7754220963
GPy,6,55.4935040474
GPy,1,107.531895876
GPy,2,69.9844858646
GPy,3,49.4730679989
GPy,4,45.2263710499
GPy,5,39.5860249996
GPy,6,36.5593521595
GPy,1,112.974991083
GPy,2,66.940680027
GPy,3,50.931027174
GPy,4,43.037774086
GPy,5,38.0057990551
GPy,6,59.9153828621
GPy,1,103.870574951
GPy,2,66.877576828
GPy,3,50.2362959385
GPy,4,44.7719540596
GPy,5,64.0261459351
GPy,6,60.6286530495
GPy,1,110.025715113
GPy,2,65.4833869934
GPy,3,52.8466529846
GPy,4,43.8568348885
GPy,5,67.9007658958
GPy,6,35.9289598465
